item,target,distractor1,distractor2,distractor3,a,b,c,d
The library had  ____________ that explained many different things.,books,book,booking,booked,1,0,0.25,1
There were so many  ____________ at the station.,buses,busing,bus,bused,1,0,0.25,1
There are so many  ____________ in the forest.,foxes,foxed,foxer,fox,1,0,0.25,1
She was  ____________ pizza since it was her favorite food.,eating,eated,eater,eats,1,0,0.25,1
He ____________ his friends dog very well in the past.,treated,treater,treats,treat,1,0,0.25,1
The spider had ____________ his friend’s hand yesterday.,bitten,biting,bite,bites,1,0,0.25,1
The spider had ____________ his friend’s hand yesterday.,bitten,biting,bite,bites,1,0,0.25,1
The museum had ____________ from various ancient civilizations.,artifacts,artifacting,artifacted,artifact,1,0,0.25,1
She enjoys collecting ____________ as a hobby.,stamps,stampede,stamping,stamped,1,0,0.25,1
The chef prepared a delicious ____________ for the special occasion.,dinner,dine,dining,dined,1,0,0.25,1
The team celebrated their victory with a huge ____________.,celebration,celebrator,celebrate,celebrated,1,0,0.25,1
He has a collection of rare ____________ in his study.,coins,coinage,coining,coined,1,0,0.25,1
"The garden was full of vibrant, colorful ____________.",flowers,flowered,flowering,flower,1,0,0.25,1
The teacher gave an interesting ____________ on space exploration.,presentation,present,presenting,presented,1,0,0.25,1
They explored the ancient ruins with a curious sense of ____________.,adventure,adventurer,adventurous,adventuring,1,0,0.25,1
The children were excited to play in the new ____________ at the park.,playground,playful,playfully,play,1,0,0.25,1
